TC ID,Day,Module,Priority,Test Scenario,Pre-condition,Test Steps,Expected Result,Status,Actual Result,Tester,Remarks
TC-AS-01,1,Asset Core,High,Create an Asset (IT Scope),Logged in as Asset Administrator company selected,"1. Navigate to Assets → Asset List → click Add Asset;2. Fill all required fields: name category type brand model serial number purchase date value useful life;3. Select scope: IT Asset;4. Upload an image (JPG/PNG);5. Click Save",Asset is created with a unique code (e.g. AST-001). Appears in Asset List immediately.,,,,,,
TC-AS-02,1,Asset Core,Medium,Create an Asset (Admin Scope),Logged in as Asset Administrator,"1. Navigate to Assets → Add Asset;2. Fill required fields;3. Select scope: Admin Asset;4. Click Save",Asset is created. Visible only under Admin scope filter.,,,,,,
TC-AS-03,1,Asset Core,High,Edit an Existing Asset,At least one asset exists,"1. Go to Asset List;2. Click on an asset to open details;3. Click Edit;4. Change name category and value;5. Click Save",Changes are saved and reflected immediately in Asset List and detail view.,,,,,,
TC-AS-04,1,Asset Core,Medium,Delete an Asset,Asset exists with no active assignments,"1. Go to Asset List;2. Click delete/archive on an asset;3. Confirm deletion",Asset is removed from active list (or archived). Confirmation message shown.,,,,,,
TC-AS-05,1,Asset Core,High,Search Assets by Code / Name,Multiple assets exist,"1. Go to Asset List;2. Type partial asset code in search bar (e.g. AST-0);3. Clear and search by asset name",Results filter in real-time as you type. Matching assets displayed.,,,,,,
TC-AS-06,1,Asset Core,Medium,Filter by Category / Status / Company,Assets in multiple categories and statuses exist,"1. Go to Asset List;2. Apply category filter → select a category;3. Apply status filter → select Available;4. Apply company filter → switch company",List updates to show only matching assets. Filter badges/chips shown.,,,,,,
TC-AS-07,1,Asset Core,Medium,Pagination & Page Size,Enough assets to span multiple pages,"1. Go to Asset List;2. Navigate to page 2 then page 3;3. Change page size from 10 to 25 to 50",Data loads correctly per page. Page indicator shows correct totals.,,,,,,
TC-AS-08,1,Asset Core,Medium,Export Assets (Excel),Assets exist in list,"1. Go to Asset List;2. Click Export → Excel",.xlsx file downloads with current asset list data.,,,,,,
TC-AS-09,1,Asset Core,Medium,Export Assets (PDF),Assets exist in list,"1. Go to Asset List;2. Click Export → PDF",PDF file downloads with formatted asset list data.,,,,,,
TC-AS-10,1,Assignment,High,Assign Asset to User,"Asset is in Available status. Target user exists.","1. Go to Asset Assignment page;2. Select an available asset;3. Select target user;4. Set assignment date;5. Click Assign",Asset status changes to Assigned. User can see it in My Assets. Assignment history recorded.,,,,,,
TC-AS-11,1,Assignment,Medium,View Assignment History,Asset has prior assignment history,"1. Open any assigned assets details;2. Scroll to Assignment History section",Complete timeline of all past assignments with dates and users.,,,,,,
TC-AS-12,1,My Assets,High,My Assets Page,Logged in as a user with assigned assets,"1. Navigate to My Assets;2. Verify all assigned assets are listed;3. Click on an asset to view details",Only assets assigned to current user are shown. Correct statuses displayed.,,,,,,
TC-AS-13,1,Asset Core,Medium,Public Asset Detail (QR Link),Asset exists with known code,"1. Open a browser in incognito/private mode (not logged in);2. Navigate to /assets/details/AST-001 (or similar);3. Verify public asset info is displayed",Public asset detail page loads with basic info (no edit/delete actions).,,,,,,
TC-WF-01,2,Returns,High,Create Asset Return Request,User has an assigned asset,"1. Navigate to Asset Return;2. Select an assigned asset;3. Fill return reason and condition notes;4. Upload condition images (if applicable);5. Submit return request",Return request created with Pending status. Admin can see the request.,,,,,,
TC-WF-02,2,Returns,Medium,Process Batch Return,Multiple assets eligible for return,"1. Go to Asset Return page;2. Select multiple assets;3. Submit batch return;4. Admin processes the batch",All selected assets are returned in one operation. Statuses update for all.,,,,,,
TC-WF-03,2,Transfers,High,Initiate Asset Transfer,Asset is assigned to a user,"1. Go to Asset Transfer page;2. Select an assigned asset;3. Select receiving user/department;4. Add transfer notes;5. Submit transfer request",Transfer request created with Pending Approval status. Notification sent to approver.,,,,,,
TC-WF-04,2,Transfers,High,Approve & Complete Transfer,Pending transfer request exists,"1. Log in as approver;2. Go to Approvals or Transfer Requests;3. Review pending transfer;4. Click Approve;5. Capture wet signature (if required)",Transfer completed. Asset reassigned to new user. Transfer form finalized.,,,,,,
TC-WF-05,2,Transfers,Medium,Reject Transfer Request,Pending transfer request exists,"1. Log in as approver;2. Go to pending transfer request;3. Click Reject;4. Provide rejection reason",Transfer request rejected. Status updated. Initiator notified.,,,,,,
TC-WF-06,2,Borrow,High,Create Borrow Request,Asset is Available,"1. Go to Asset Borrowing page;2. Select an available asset;3. Set borrow start and end dates;4. Add purpose/notes;5. Submit",Borrow request created. Status: Pending Approval.,,,,,,
TC-WF-07,2,Borrow,High,Approve & Receive Borrow,Pending borrow request exists,"1. Admin approves borrow request;2. User goes to borrow requests;3. User clicks Receive to acknowledge receipt;4. Admin confirms borrower received",Asset marked as Borrowed. Borrow period tracked.,,,,,,
TC-WF-08,2,Borrow,Medium,Return Borrowed Asset,Asset is currently borrowed,"1. User initiates return of borrowed asset;2. Admin confirms receipt;3. Verify asset status",Asset status returns to Available. Borrow record closed.,,,,,,
TC-WF-09,2,Disposal,Medium,Asset Disposal,"Asset exists (retired or end-of-life)","1. Go to Asset Disposal page;2. Select asset for disposal;3. Fill disposal reason method date;4. Submit disposal",Asset status changes to Disposed. Disposal record created.,,,,,,
TC-FM-01,3,Accountability Form,High,Generate Accountability Form,User has assigned assets,"1. Go to Forms → Accountability Form;2. Select assigned assets to include;3. Click Generate Form;4. Review the generated form",Form is generated listing all selected assets with their details. Ready for signature.,,,,,,
TC-FM-02,3,Accountability Form,High,Sign Accountability Form (Employee),Unsigned accountability form exists,"1. Open the generated accountability form;2. Click Sign as Employee;3. Draw/capture digital signature;4. Confirm signature",Employee signature captured and saved. Form status updates.,,,,,,
TC-FM-03,3,Accountability Form,High,Sign Accountability Form (IT Head),Employee has signed the form,"1. Log in as IT Head;2. Open the pending accountability form;3. Click Sign as IT Head;4. Draw/capture digital signature;5. Confirm signature",IT Head signature captured. Form is finalized. PDF available for download.,,,,,,
TC-FM-04,3,Accountability Form,Medium,Print Accountability Form PDF,Fully signed accountability form,"1. Open a finalized (signed) accountability form;2. Click Print / Download PDF",PDF generates with all signatures asset list and form details visible.,,,,,,
TC-FM-05,3,Return Form,High,Create & Sign Asset Return Form,Asset has been returned,"1. Go to Forms → Return Form;2. Select returned asset;3. Generate form;4. Employee signs;5. Admin/IT Head signs",Return form created and signed by both parties. PDF downloadable.,,,,,,
